as_of_date,file_path,route_path,cohort,page_kind,doc_type_primary,accuracy_2026_status,accuracy_2026_confidence,accuracy_2026_score,clarity_score,verifiability_score,docs_framework_fit_score,rfp_page_compliance_score,completeness_score,actionability_score,audience_fit_score,machine_readability_score,maintenance_quality_score,human_usefulness_score,agent_usefulness_score,human_band,agent_band,claims_extracted_count,verification_sources_count,source_types_used,source_freshness_oldest_date,source_freshness_latest_date,flags_human,verification_notes
2026-02-23,v2/README.mdx,/v2/README,public,content_explanation,explanation,stale_risk,0.49,1.4,2.7,3.3,2.5,1.7,3.9,0.5,1.5,2,1,44,44,incomplete_risky,incomplete_risky,12,49,deepwiki|github_docs|official_docs,,,accuracy needs review; todo marker; missing frontmatter; incomplete; verification required,Verified 9/12 extracted claim(s) as of 2026-02-23. Tier 2 source fetch degraded (41 error(s)); provisional fallbacks may remain.
2026-02-23,v2/about/core-concepts.mdx,/v2/about/core-concepts,public,content_explanation,explanation,provisional,0.942,3.9,4.2,3.3,3.5,3.5,5,0.5,3.5,4.4,2,70,72,good,good,12,48,deepwiki|github_docs|official_docs,,,accuracy needs review; verification required,Verified 10/12 extracted claim(s) as of 2026-02-23. Tier 2 source fetch degraded (40 error(s)); provisional fallbacks may remain.
2026-02-23,v2/about/core-concepts/concepts/actors.mdx,/v2/about/core-concepts/concepts/actors,public,content_explanation,explanation,verified_2026,1,5,3.5,3.3,3,3.1,4,0.5,3.5,4,2,66,70,usable_needs_work,good,6,24,deepwiki|official_docs,,,accuracy needs review,Verified 6/6 extracted claim(s) as of 2026-02-23. Tier 2 source fetch degraded (24 error(s)); provisional fallbacks may remain.
2026-02-23,v2/about/faq-about.mdx,/v2/about/faq-about,public,how_to,how_to,contradicted,0.25,0,3.2,2.8,3.7,2.9,3.9,2.4,2.7,4.4,2,53,53,usable_needs_work,usable_needs_work,12,48,deepwiki|official_docs,,,source conflict; accuracy needs review; coming soon; incomplete; manual review required; verification required,Verified 10/12 extracted claim(s) as of 2026-02-23. 2 source conflict(s) detected and resolved by weighting. Tier 2 source fetch degraded (48 error(s)); provisional fallbacks may remain.
2026-02-23,v2/about/index.mdx,/v2/about,public,generated_index,landing,provisional,0.15,1.9,3.6,0.8,4.2,2.7,3,1.2,3.5,2,1.5,51,47,usable_needs_work,incomplete_risky,0,0,,,,accuracy needs review; generated index; missing frontmatter; thin content,No extractable claims found; provisional status as of 2026-02-23.
2026-02-23,v2/about/livepeer-network/actors.mdx,/v2/about/livepeer-network/actors,public,content_explanation,explanation,stale_risk,0.49,1.4,4.2,3.3,3.5,3.7,5,1.2,3.5,4.4,1.2,64,63,usable_needs_work,usable_needs_work,12,50,deepwiki|github_docs|official_docs,,,accuracy needs review; legacy v2 pages link; verification required,Verified 10/12 extracted claim(s) as of 2026-02-23. Tier 2 source fetch degraded (39 error(s)); provisional fallbacks may remain.
2026-02-23,v2/about/livepeer-network/demand-side.mdx,/v2/about/livepeer-network/demand-side,public,content_explanation,explanation,provisional,0.15,1.9,1.5,0.8,2.4,1.9,0,1,3.5,3.6,2,31,36,incomplete_risky,incomplete_risky,0,0,,,,accuracy needs review; thin content,No extractable claims found; provisional status as of 2026-02-23.
2026-02-23,v2/about/livepeer-network/fee-flow.mdx,/v2/about/livepeer-network/fee-flow,public,content_explanation,explanation,provisional,0.15,1.9,1.5,0.8,2.4,1.9,0,1,3.5,3.6,2,31,36,incomplete_risky,incomplete_risky,0,0,,,,accuracy needs review; thin content,No extractable claims found; provisional status as of 2026-02-23.
2026-02-23,v2/about/livepeer-network/interfaces.mdx,/v2/about/livepeer-network/interfaces,public,content_explanation,explanation,verified_2026,1,5,4.2,4.5,3.5,3.9,4.4,3,3.5,4.4,2,81,82,good,good,7,28,deepwiki|official_docs|openapi,,,accuracy needs review,Verified 7/7 extracted claim(s) as of 2026-02-23. Tier 2 source fetch degraded (28 error(s)); provisional fallbacks may remain.
2026-02-23,v2/about/livepeer-network/job-lifecycle.mdx,/v2/about/livepeer-network/job-lifecycle,public,content_explanation,explanation,verified_2026,1,5,4.2,3.3,3.5,3.8,5,1.8,3.5,4.4,2,77,78,good,good,12,50,deepwiki|github_docs|official_docs,,,accuracy needs review,Verified 12/12 extracted claim(s) as of 2026-02-23. Tier 2 source fetch degraded (39 error(s)); provisional fallbacks may remain.
2026-02-23,v2/about/livepeer-network/livepeer-actors/delegators.mdx,/v2/about/livepeer-network/livepeer-actors/delegators,public,content_explanation,explanation,verified_2026,1,5,4.2,3.3,2.9,3.3,3.4,1.2,3.5,4.4,1.2,68,72,usable_needs_work,good,4,16,deepwiki|official_docs,,,accuracy needs review; legacy v2 pages link,Verified 4/4 extracted claim(s) as of 2026-02-23. Tier 2 source fetch degraded (16 error(s)); provisional fallbacks may remain.
2026-02-23,v2/about/livepeer-network/livepeer-actors/end-users.mdx,/v2/about/livepeer-network/livepeer-actors/end-users,public,content_explanation,explanation,verified_2026,1,5,4.2,2.4,2.9,3.3,3.4,1.2,3.5,4.4,2,67,70,usable_needs_work,good,1,4,deepwiki|official_docs,,,accuracy needs review,Verified 1/1 extracted claim(s) as of 2026-02-23. Tier 2 source fetch degraded (4 error(s)); provisional fallbacks may remain.
2026-02-23,v2/about/livepeer-network/livepeer-actors/gateways.mdx,/v2/about/livepeer-network/livepeer-actors/gateways,public,content_explanation,explanation,provisional,0.883,3.7,4.2,3.3,3.5,3.7,3.4,2.8,3.5,4.4,1.2,70,71,good,good,3,11,deepwiki|official_docs,,,accuracy needs review; legacy v2 pages link; verification required,Verified 2/3 extracted claim(s) as of 2026-02-23. Tier 2 source fetch degraded (13 error(s)); provisional fallbacks may remain.
2026-02-23,v2/about/livepeer-network/livepeer-actors/orchestrators.mdx,/v2/about/livepeer-network/livepeer-actors/orchestrators,public,content_explanation,explanation,verified_2026,1,5,4.2,2.4,3.5,3.3,3.4,1.2,3.5,4.4,2,68,71,usable_needs_work,good,1,4,deepwiki|official_docs,,,accuracy needs review,Verified 1/1 extracted claim(s) as of 2026-02-23. Tier 2 source fetch degraded (4 error(s)); provisional fallbacks may remain.
2026-02-23,v2/about/livepeer-network/marketplace.mdx,/v2/about/livepeer-network/marketplace,public,content_explanation,explanation,verified_2026,1,5,4.2,4.5,3.5,3.8,5,2,3.5,4.4,1.2,79,81,good,good,8,34,deepwiki|github_docs|official_docs,,,accuracy needs review; legacy v2 pages link,Verified 8/8 extracted claim(s) as of 2026-02-23. Tier 2 source fetch degraded (23 error(s)); provisional fallbacks may remain.
2026-02-23,v2/about/livepeer-network/overview.mdx,/v2/about/livepeer-network/overview,public,content_explanation,explanation,verified_2026,1,5,4.2,3.3,3.5,3.4,4.4,0.5,3.5,4.4,2,71,75,good,good,5,20,deepwiki|official_docs,,,accuracy needs review,Verified 5/5 extracted claim(s) as of 2026-02-23. Tier 2 source fetch degraded (20 error(s)); provisional fallbacks may remain.
2026-02-23,v2/about/livepeer-network/scaling.mdx,/v2/about/livepeer-network/scaling,public,content_explanation,explanation,provisional,0.15,1.9,1.5,0.8,2.4,1.9,0,1,3.5,3.6,2,31,36,incomplete_risky,incomplete_risky,0,0,,,,accuracy needs review; thin content,No extractable claims found; provisional status as of 2026-02-23.
2026-02-23,v2/about/livepeer-network/supply-side.mdx,/v2/about/livepeer-network/supply-side,public,content_explanation,explanation,provisional,0.15,1.9,1.5,0.8,2.4,1.9,0,1,3.5,3.6,2,31,36,incomplete_risky,incomplete_risky,0,0,,,,accuracy needs review; thin content,No extractable claims found; provisional status as of 2026-02-23.
2026-02-23,v2/about/livepeer-network/technical-architecture.mdx,/v2/about/livepeer-network/technical-architecture,public,content_explanation,explanation,verified_2026,1,5,4.2,4.5,3.5,3.7,4.4,2,3.5,4.4,1.2,77,80,good,good,2,8,deepwiki|official_docs,,,accuracy needs review; legacy v2 pages link,Verified 2/2 extracted claim(s) as of 2026-02-23. Tier 2 source fetch degraded (8 error(s)); provisional fallbacks may remain.
2026-02-23,v2/about/livepeer-overview.mdx,/v2/about/livepeer-overview,public,content_explanation,explanation,stale_risk,0.49,1.4,4.2,3.3,3.5,3.8,5,2.1,3.5,4.4,2,67,65,usable_needs_work,usable_needs_work,12,49,deepwiki|github_docs|official_docs,,,accuracy needs review; verification required,Verified 11/12 extracted claim(s) as of 2026-02-23. Tier 2 source fetch degraded (44 error(s)); provisional fallbacks may remain.
2026-02-23,v2/about/livepeer-protocol/core-mechanisms.mdx,/v2/about/livepeer-protocol/core-mechanisms,public,content_explanation,explanation,stale_risk,0.49,1.4,4.2,3.9,3.5,4,5,2.8,3.5,4.4,2,70,68,good,usable_needs_work,12,49,deepwiki|github_docs|official_docs,,,accuracy needs review; verification required,Verified 11/12 extracted claim(s) as of 2026-02-23. Tier 2 source fetch degraded (43 error(s)); provisional fallbacks may remain.
2026-02-23,v2/about/livepeer-protocol/economics.mdx,/v2/about/livepeer-protocol/economics,public,content_explanation,explanation,verified_2026,1,5,4.2,3.3,3.5,3.9,5,2.8,3.5,3.8,1.4,79,77,good,good,12,50,deepwiki|github_docs|official_docs,,,accuracy needs review; missing description,Verified 12/12 extracted claim(s) as of 2026-02-23. Tier 2 source fetch degraded (40 error(s)); provisional fallbacks may remain.
2026-02-23,v2/about/livepeer-protocol/governance-model.mdx,/v2/about/livepeer-protocol/governance-model,public,content_explanation,explanation,verified_2026,1,5,4.2,4.5,3.5,3.9,5,2.5,3.5,4.4,2,81,83,good,good,12,48,deepwiki|official_docs,,,accuracy needs review,Verified 12/12 extracted claim(s) as of 2026-02-23. Tier 2 source fetch degraded (47 error(s)); provisional fallbacks may remain.
2026-02-23,v2/about/livepeer-protocol/livepeer-token.mdx,/v2/about/livepeer-protocol/livepeer-token,public,content_explanation,explanation,stale_risk,0.49,1.4,3.2,3.7,2.5,3.1,3.9,3.1,2.7,4.4,2,59,60,usable_needs_work,usable_needs_work,12,50,deepwiki|github_docs|official_docs,,,accuracy needs review; todo marker; incomplete; verification required,Verified 11/12 extracted claim(s) as of 2026-02-23. Tier 2 source fetch degraded (39 error(s)); provisional fallbacks may remain.
2026-02-23,v2/about/livepeer-protocol/overview.mdx,/v2/about/livepeer-protocol/overview,public,content_explanation,explanation,verified_2026,1,5,4.2,4.5,3.5,4,5,2.8,3.5,4.4,1.2,82,83,good,good,12,48,deepwiki|official_docs,,,accuracy needs review; legacy v2 pages link,Verified 12/12 extracted claim(s) as of 2026-02-23. Tier 2 source fetch degraded (48 error(s)); provisional fallbacks may remain.
2026-02-23,v2/about/livepeer-protocol/technical-architecture.mdx,/v2/about/livepeer-protocol/technical-architecture,public,content_explanation,explanation,verified_2026,1,5,3.5,2.8,2.9,3.3,1.6,3.5,3.5,4.4,2,66,69,usable_needs_work,usable_needs_work,1,4,deepwiki|official_docs,,,accuracy needs review; thin content,Verified 1/1 extracted claim(s) as of 2026-02-23. Tier 2 source fetch degraded (4 error(s)); provisional fallbacks may remain.
2026-02-23,v2/about/livepeer-protocol/treasury.mdx,/v2/about/livepeer-protocol/treasury,public,content_explanation,explanation,stale_risk,0.49,1.4,4.2,4.5,3.5,4.3,5,4.4,3.5,4.4,2,76,73,good,good,12,50,deepwiki|github_docs|official_docs,,,accuracy needs review; verification required,Verified 10/12 extracted claim(s) as of 2026-02-23. Tier 2 source fetch degraded (39 error(s)); provisional fallbacks may remain.
2026-02-23,v2/about/mental-model.mdx,/v2/about/mental-model,public,content_explanation,explanation,verified_2026,1,5,4.2,3.5,3.5,3.9,5,2.2,3.5,4.4,2,78,79,good,good,12,48,deepwiki|official_docs,,,accuracy needs review,Verified 12/12 extracted claim(s) as of 2026-02-23. Tier 2 source fetch degraded (48 error(s)); provisional fallbacks may remain.
2026-02-23,v2/about/portal.mdx,/v2/about/portal,public,content_explanation,explanation,verified_2026,1,5,3,3.5,3,2.7,2.8,0.8,3.5,3.6,2,61,66,usable_needs_work,usable_needs_work,4,17,deepwiki|github_docs|official_docs,,,accuracy needs review,Verified 4/4 extracted claim(s) as of 2026-02-23. Tier 2 source fetch degraded (11 error(s)); provisional fallbacks may remain.
2026-02-23,v2/about/resources/blockchain-contracts.mdx,/v2/about/resources/blockchain-contracts,public,content_explanation,explanation,stale_risk,0.49,1.4,4.2,4.5,3.5,4,3.4,4.6,3.5,4.4,2,71,70,good,good,2,9,deepwiki|github_docs|official_docs,,,accuracy needs review; verification required,Verified 1/2 extracted claim(s) as of 2026-02-23. Tier 2 source fetch degraded (4 error(s)); provisional fallbacks may remain.
2026-02-23,v2/about/resources/gateways-vs-orchestrators.mdx,/v2/about/resources/gateways-vs-orchestrators,public,content_explanation,explanation,provisional,0.15,1.9,4.2,0.2,3.5,3.4,3.4,1.3,3.5,4.4,2,55,53,usable_needs_work,usable_needs_work,2,0,,,,accuracy needs review; verification required,Verified 0/2 extracted claim(s) as of 2026-02-23. Tier 2 source fetch degraded (1 error(s)); provisional fallbacks may remain.
2026-02-23,v2/about/resources/livepeer-glossary.mdx,/v2/about/resources/livepeer-glossary,public,content_explanation,explanation,provisional,0.15,1.9,4.2,0.4,3.5,3.6,5,0.8,3.5,4.4,2,59,56,usable_needs_work,usable_needs_work,12,0,,,,accuracy needs review; verification required,Verified 0/12 extracted claim(s) as of 2026-02-23. Tier 2 source fetch degraded (1 error(s)); provisional fallbacks may remain.
2026-02-23,v2/about/resources/livepeer-whitepaper.mdx,/v2/about/resources/livepeer-whitepaper,public,content_explanation,explanation,provisional,0.15,1.9,3.5,0.8,3,3.3,5,1.2,3.5,3.4,1.4,56,52,usable_needs_work,usable_needs_work,11,0,,,,accuracy needs review; missing description; verification required,Verified 0/11 extracted claim(s) as of 2026-02-23. Tier 2 source fetch degraded (1 error(s)); provisional fallbacks may remain.
2026-02-23,v2/about/resources/technical-roadmap.mdx,/v2/about/resources/technical-roadmap,public,content_explanation,explanation,provisional,0.15,1.9,1.5,0.8,2.4,1.5,0.2,0.5,3.5,1.6,1,28,29,incomplete_risky,incomplete_risky,0,0,,,,accuracy needs review; missing frontmatter; thin content,No extractable claims found; provisional status as of 2026-02-23.
2026-02-23,v2/community/_move_me/livepeer-hubs/livepeer-builder-hub.mdx,/v2/community/_move_me/livepeer-hubs/livepeer-builder-hub,public,content_explanation,explanation,provisional,0.15,1.9,1.5,0.8,2.4,1.5,0.2,0.5,3.5,1.6,1,28,29,incomplete_risky,incomplete_risky,0,0,,,,accuracy needs review; missing frontmatter; thin content,No extractable claims found; provisional status as of 2026-02-23.
2026-02-23,v2/community/_move_me/livepeer-hubs/livepeer-partner-hub.mdx,/v2/community/_move_me/livepeer-hubs/livepeer-partner-hub,public,content_explanation,explanation,provisional,0.15,1.9,2.2,0.8,2.9,1.7,0.2,0.5,3.5,2,1,32,33,incomplete_risky,incomplete_risky,0,0,,,,accuracy needs review; missing frontmatter; thin content,No extractable claims found; provisional status as of 2026-02-23.
2026-02-23,v2/community/_move_me/livepeer-partners/livepeer-builder-hub.mdx,/v2/community/_move_me/livepeer-partners/livepeer-builder-hub,public,content_explanation,explanation,provisional,0.15,1.9,1.5,0.8,2.4,1.5,0.2,0.5,3.5,1.6,1,28,29,incomplete_risky,incomplete_risky,0,0,,,,accuracy needs review; missing frontmatter; thin content,No extractable claims found; provisional status as of 2026-02-23.
2026-02-23,v2/community/_move_me/livepeer-partners/livepeer-partner-hub.mdx,/v2/community/_move_me/livepeer-partners/livepeer-partner-hub,public,content_explanation,explanation,provisional,0.15,1.9,2.2,0.8,2.9,1.7,0.2,0.5,3.5,2,1,32,33,incomplete_risky,incomplete_risky,0,0,,,,accuracy needs review; missing frontmatter; thin content,No extractable claims found; provisional status as of 2026-02-23.
2026-02-23,v2/community/community-portal.mdx,/v2/community/community-portal,public,content_explanation,explanation,provisional,0.15,1.9,3,0.2,3,2.7,2.8,0.5,3.5,3.6,2,45,44,incomplete_risky,incomplete_risky,9,0,,,,accuracy needs review; verification required,Verified 0/9 extracted claim(s) as of 2026-02-23. Tier 2 source fetch degraded (1 error(s)); provisional fallbacks may remain.
2026-02-23,v2/community/faq.mdx,/v2/community/faq,public,placeholder,explanation,provisional,0.15,1.9,1,0.8,1.4,1.1,0,0,2.7,4,2,23,31,placeholder_or_broken,incomplete_risky,0,0,,,,accuracy needs review; coming soon; thin content; incomplete,No extractable claims found; provisional status as of 2026-02-23.
2026-02-23,v2/community/index.mdx,/v2/community,public,generated_index,landing,provisional,0.15,1.9,2.8,0.2,4.2,2.5,3,1.2,3.5,2,1.5,47,43,incomplete_risky,incomplete_risky,1,0,,,,accuracy needs review; generated index; missing frontmatter; thin content; verification required,Verified 0/1 extracted claim(s) as of 2026-02-23. Tier 2 source fetch degraded (1 error(s)); provisional fallbacks may remain.
2026-02-23,v2/community/livepeer-community/community-guidelines.mdx,/v2/community/livepeer-community/community-guidelines,public,how_to,how_to,provisional,0.15,1.9,1.5,0.2,1.5,1.8,0,0.5,3.5,3.6,2,27,32,incomplete_risky,incomplete_risky,1,0,,,,accuracy needs review; thin content; verification required,Verified 0/1 extracted claim(s) as of 2026-02-23. Tier 2 source fetch degraded (1 error(s)); provisional fallbacks may remain.
2026-02-23,v2/community/livepeer-community/livepeer-latest-topics.mdx,/v2/community/livepeer-community/livepeer-latest-topics,public,placeholder,explanation,provisional,0.15,1.9,2.5,0.2,1.9,1.5,0.1,0,2.7,4.4,2,29,35,incomplete_risky,incomplete_risky,1,0,,,,accuracy needs review; coming soon; thin content; incomplete; verification required,Verified 0/1 extracted claim(s) as of 2026-02-23. Tier 2 source fetch degraded (1 error(s)); provisional fallbacks may remain.
2026-02-23,v2/community/livepeer-community/roadmap.mdx,/v2/community/livepeer-community/roadmap,public,content_explanation,explanation,provisional,0.15,1.9,3.5,0.4,2.9,2.7,1.2,0.8,3.5,4.4,2,43,46,incomplete_risky,incomplete_risky,2,0,,,,accuracy needs review; thin content; verification required,Verified 0/2 extracted claim(s) as of 2026-02-23. Tier 2 source fetch degraded (1 error(s)); provisional fallbacks may remain.
2026-02-23,v2/community/livepeer-community/trending-topics.mdx,/v2/community/livepeer-community/trending-topics,public,content_explanation,explanation,provisional,0.15,1.9,3.5,1,2.9,2.8,1.6,1.2,3.5,4.4,2,47,49,incomplete_risky,incomplete_risky,1,0,,,,accuracy needs review; thin content; verification required,Verified 0/1 extracted claim(s) as of 2026-02-23. Tier 2 source fetch degraded (1 error(s)); provisional fallbacks may remain.
2026-02-23,v2/community/livepeer-connect/events-and-community-streams.mdx,/v2/community/livepeer-connect/events-and-community-streams,public,content_explanation,explanation,provisional,0.15,1.9,2.7,0.8,2.9,2.2,0.6,0.5,3.5,3.8,1.4,37,41,incomplete_risky,incomplete_risky,0,0,,,,accuracy needs review; missing description; thin content,No extractable claims found; provisional status as of 2026-02-23.
2026-02-23,v2/community/livepeer-connect/forums-and-discussions.mdx,/v2/community/livepeer-connect/forums-and-discussions,public,content_explanation,explanation,provisional,0.15,1.9,1.5,0.2,2.4,1.7,0,0.5,3.5,3,1.4,28,31,incomplete_risky,incomplete_risky,1,0,,,,accuracy needs review; missing description; thin content; verification required,Verified 0/1 extracted claim(s) as of 2026-02-23. Tier 2 source fetch degraded (1 error(s)); provisional fallbacks may remain.
2026-02-23,v2/community/livepeer-connect/news-and-socials.mdx,/v2/community/livepeer-connect/news-and-socials,public,content_explanation,explanation,provisional,0.15,1.9,1.5,0.8,2.4,1.8,0,0.5,3.5,3.6,2,30,35,incomplete_risky,incomplete_risky,0,0,,,,accuracy needs review; thin content,No extractable claims found; provisional status as of 2026-02-23.
2026-02-23,v2/community/livepeer-contribute/build-livepeer.mdx,/v2/community/livepeer-contribute/build-livepeer,public,content_explanation,explanation,provisional,0.15,1.9,1.5,0.8,2.4,1.7,0,0.5,3.5,3,1.4,29,33,incomplete_risky,incomplete_risky,0,0,,,,accuracy needs review; missing description; thin content,No extractable claims found; provisional status as of 2026-02-23.
2026-02-23,v2/community/livepeer-contribute/contribute.mdx,/v2/community/livepeer-contribute/contribute,public,content_explanation,explanation,provisional,0.15,1.9,1.5,0.8,2.4,1.8,0,0.5,3.5,3.6,2,30,35,incomplete_risky,incomplete_risky,0,0,,,,accuracy needs review; thin content,No extractable claims found; provisional status as of 2026-02-23.
2026-02-23,v2/community/livepeer-contribute/opportunities.mdx,/v2/community/livepeer-contribute/opportunities,public,content_explanation,explanation,provisional,0.15,1.9,2,0.8,2.4,1.9,0.2,0.5,3.5,3.4,1.4,32,36,incomplete_risky,incomplete_risky,0,0,,,,accuracy needs review; missing description; thin content,No extractable claims found; provisional status as of 2026-02-23.
2026-02-23,v2/community/resources/awesome-livepeer.mdx,/v2/community/resources/awesome-livepeer,public,content_explanation,explanation,provisional,0.15,0,0,0,0,0,0,0,0,0,0,0,0,empty,empty,0,0,,,,accuracy needs review; empty; missing frontmatter,No extractable claims found; provisional status as of 2026-02-23.
2026-02-23,v2/community/resources/dashboards.mdx,/v2/community/resources/dashboards,public,content_explanation,explanation,provisional,0.15,1.9,1.5,0.8,2.4,1.7,0,0.5,3.5,3,1.4,29,33,incomplete_risky,incomplete_risky,0,0,,,,accuracy needs review; missing description; thin content,No extractable claims found; provisional status as of 2026-02-23.
2026-02-23,v2/community/resources/guides.mdx,/v2/community/resources/guides,public,how_to,how_to,provisional,0.15,0,0,0,0,0,0,0,0,0,0,0,0,empty,empty,0,0,,,,accuracy needs review; empty; missing frontmatter,No extractable claims found; provisional status as of 2026-02-23.
2026-02-23,v2/developers/ai-inference-on-livepeer/byoc.mdx,/v2/developers/ai-inference-on-livepeer/byoc,public,content_explanation,explanation,provisional,0.15,1.9,4.2,1.4,3.5,4.3,5,4.6,3.5,4.4,2,71,65,good,usable_needs_work,12,0,,,,accuracy needs review; verification required,Verified 0/12 extracted claim(s) as of 2026-02-23. Tier 2 source fetch degraded (1 error(s)); provisional fallbacks may remain.
2026-02-23,v2/developers/ai-inference-on-livepeer/comfystream.mdx,/v2/developers/ai-inference-on-livepeer/comfystream,public,content_explanation,explanation,provisional,0.15,1.9,4.2,0.4,3.5,3.5,4.4,0.8,3.5,4.4,2,57,55,usable_needs_work,usable_needs_work,2,0,,,,accuracy needs review; verification required,Verified 0/2 extracted claim(s) as of 2026-02-23. Tier 2 source fetch degraded (1 error(s)); provisional fallbacks may remain.
2026-02-23,v2/developers/ai-inference-on-livepeer/comfyui.mdx,/v2/developers/ai-inference-on-livepeer/comfyui,public,content_explanation,explanation,provisional,0.15,1.9,4.2,0.2,3.5,3.5,5,0.5,3.5,4.4,2,58,55,usable_needs_work,usable_needs_work,5,0,,,,accuracy needs review; verification required,Verified 0/5 extracted claim(s) as of 2026-02-23. Tier 2 source fetch degraded (1 error(s)); provisional fallbacks may remain.
2026-02-23,v2/developers/ai-inference-on-livepeer/livepeer-ai/README.mdx,/v2/developers/ai-inference-on-livepeer/livepeer-ai/README,public,content_explanation,explanation,provisional,0.15,1.9,1.5,0.8,2.4,1.5,0.2,0.5,3.5,1.6,1,28,29,incomplete_risky,incomplete_risky,0,0,,,,accuracy needs review; missing frontmatter; thin content,No extractable claims found; provisional status as of 2026-02-23.
2026-02-23,v2/developers/ai-inference-on-livepeer/livepeer-ai/ai-101.mdx,/v2/developers/ai-inference-on-livepeer/livepeer-ai/ai-101,public,content_explanation,explanation,provisional,0.15,1.9,1.5,0.8,2.4,1.5,0.2,0.5,3.5,1.6,1,28,29,incomplete_risky,incomplete_risky,0,0,,,,accuracy needs review; missing frontmatter; thin content,No extractable claims found; provisional status as of 2026-02-23.
2026-02-23,v2/developers/ai-inference-on-livepeer/livepeer-ai/ai-apis-move-to-tech-section/README.mdx,/v2/developers/ai-inference-on-livepeer/livepeer-ai/ai-apis-move-to-tech-section/README,public,content_explanation,explanation,provisional,0.15,1.9,1.5,0.8,2.4,1.5,0.2,0.5,3.5,1.6,1,28,29,incomplete_risky,incomplete_risky,0,0,,,,accuracy needs review; missing frontmatter; thin content,No extractable claims found; provisional status as of 2026-02-23.
2026-02-23,v2/developers/ai-inference-on-livepeer/livepeer-ai/ai-apis-move-to-tech-section/api-reference.mdx,/v2/developers/ai-inference-on-livepeer/livepeer-ai/ai-apis-move-to-tech-section/api-reference,public,content_explanation,explanation,provisional,0.15,1.9,1.5,0.8,2.4,1.5,0.2,0.5,3.5,1.6,1,28,29,incomplete_risky,incomplete_risky,0,0,,,,accuracy needs review; missing frontmatter; thin content,No extractable claims found; provisional status as of 2026-02-23.
2026-02-23,v2/developers/ai-inference-on-livepeer/livepeer-ai/custom-ai-pipelines.mdx,/v2/developers/ai-inference-on-livepeer/livepeer-ai/custom-ai-pipelines,public,content_explanation,explanation,provisional,0.15,1.9,1.5,0.8,2.4,1.8,0,0.5,3.5,3.6,2,30,35,incomplete_risky,incomplete_risky,0,0,,,,accuracy needs review; thin content,No extractable claims found; provisional status as of 2026-02-23.
