path	type	classification	rationale	linked_observations
v2/README.mdx	mdx	production-tree-internal	README (docs-tree internal, mintignored)	NOT_IN_DOCS_JSON
v2/about/concepts/about-livepeer.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/about/concepts/actors-and-capabilities.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/about/concepts/composables/actors.mdx	mdx	archive-candidate	about/concepts/composables — not imported, not in docs.json	NOT_IN_DOCS_JSON
v2/about/concepts/composables/network.mdx	mdx	archive-candidate	about/concepts/composables — not imported, not in docs.json	NOT_IN_DOCS_JSON
v2/about/concepts/composables/overview.mdx	mdx	archive-candidate	about/concepts/composables — not imported, not in docs.json	NOT_IN_DOCS_JSON
v2/about/concepts/composables/protocol.mdx	mdx	archive-candidate	about/concepts/composables — not imported, not in docs.json	NOT_IN_DOCS_JSON
v2/about/concepts/governance-and-economics.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/about/concepts/index.mdx	mdx	needs-collab	orphan index.mdx — check IA hierarchy	STUB,NO_FRONTMATTER,NOT_IN_DOCS_JSON
v2/about/concepts/livepeer-stack.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
v2/about/concepts/unclassified/about-livepeer-all.mdx	mdx	archive-candidate	unclassified/ pending IA decision	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/about/concepts/unclassified/core-principles.mdx	mdx	archive-candidate	unclassified/ pending IA decision	NO_FRONTMATTER,NOT_IN_DOCS_JSON
v2/about/concepts/unclassified/livepeer-capabilities.mdx	mdx	archive-candidate	unclassified/ pending IA decision	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/about/concepts/unclassified/protocol-and-network.mdx	mdx	archive-candidate	unclassified/ pending IA decision	LAST_VERIFIED,NOT_IN_DOCS_JSON
v2/about/guides/builders-guide.mdx	mdx	gold-candidate	lastVerified + frontmatter + no stubs	LAST_VERIFIED
