path	namespace	classification	rationale
v2/index.mdx	tab-index	production-rendered	Tab index page; nav resolves /v2/<tab>/ to it implicitly
v2/README.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/home/index.mdx	tab-index	production-rendered	Tab index page; nav resolves /v2/<tab>/ to it implicitly
v2/delegators/index.mdx	tab-index	production-rendered	Tab index page; nav resolves /v2/<tab>/ to it implicitly
v2/resources/index.mdx	tab-index	production-rendered	Tab index page; nav resolves /v2/<tab>/ to it implicitly
v2/resources/portal.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/internal/index.mdx	tab-index	production-rendered	Tab index page; nav resolves /v2/<tab>/ to it implicitly
v2/internal/definitions.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/internal/internal-overview.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/internal/ecosystem.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/internal/references.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/solutions/index.mdx	tab-index	production-rendered	Tab index page; nav resolves /v2/<tab>/ to it implicitly
v2/about/index.mdx	tab-index	production-rendered	Tab index page; nav resolves /v2/<tab>/ to it implicitly
v2/orchestrators/index.mdx	tab-index	production-rendered	Tab index page; nav resolves /v2/<tab>/ to it implicitly
v2/gateways/index.mdx	tab-index	production-rendered	Tab index page; nav resolves /v2/<tab>/ to it implicitly
v2/community/index.mdx	tab-index	production-rendered	Tab index page; nav resolves /v2/<tab>/ to it implicitly
v2/developers/index.mdx	tab-index	production-rendered	Tab index page; nav resolves /v2/<tab>/ to it implicitly
v2/home/solutions/landscape.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/resources/references/contract-addresses.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/resources/resources/videos.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/resources/lpt/delegator-dashboard.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/solutions/livepeer-studio/studio-client-use-cases.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/about/resources/livepeer-glossary.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/about/network/observability.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/about/network/design2.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/about/network/interfaces.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/about/network/participation.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/about/protocol/actors.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/about/protocol/x-design.mdx	x-prefix	cut-candidate	Experimental/abandoned per x- prefix convention
v2/about/protocol/x-overview.mdx	x-prefix	cut-candidate	Experimental/abandoned per x- prefix convention
v2/about/protocol/x-livepeer-token.mdx	x-prefix	cut-candidate	Experimental/abandoned per x- prefix convention
v2/about/protocol/x-design-philosophy.mdx	x-prefix	cut-candidate	Experimental/abandoned per x- prefix convention
v2/about/protocol/x-treasury.mdx	x-prefix	cut-candidate	Experimental/abandoned per x- prefix convention
v2/about/guides/gateways-vs-orchestrators.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/about/guides/contributor-orientation.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/about/concepts/index.mdx	tab-index	production-rendered	Tab index page; nav resolves /v2/<tab>/ to it implicitly
v2/internal/assets/transcripts/ycomb.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/orchestrators/resources/x-payments.mdx	x-prefix	cut-candidate	Experimental/abandoned per x- prefix convention
v2/orchestrators/resources/x-guides.mdx	x-prefix	cut-candidate	Experimental/abandoned per x- prefix convention
v2/orchestrators/resources/x-help.mdx	x-prefix	cut-candidate	Experimental/abandoned per x- prefix convention
v2/orchestrators/setup/s-guide.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/orchestrators/setup/x-test.mdx	x-prefix	cut-candidate	Experimental/abandoned per x- prefix convention
v2/orchestrators/quickstart/tutorial.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
v2/orchestrators/quickstart/dep-x-setup-paths.mdx	dep-prefix	cut-candidate	Deprecated per dep- prefix convention
v2/internal/assets/transcripts/a16z/2026-01-22-inferact-building-the-infrastructure-that-runs-modern-ai.mdx		cut-candidate	Not in docs.json; not a recognised partial pattern
