v1_page,v1_nav_status,v1_top_section,v1_title,v1_page_content_summary,v1_key_topics,v1_state,v1_state_flags,v1_state_rationale,v1_state_confidence,recommended_target_type,recommended_v2_tab,recommended_v2_anchor,recommended_v2_group_path,recommended_v2_route,recommended_v2_route_in_docs_json,recommended_v2_target_file_exists,recommended_v2_target_file_path,recommended_new_location,coverage_grade,coverage_rationale,deprecate_or_supersede_recommendation,recommended_action,confidence_score,adjudication_status,notes,seed_row_present,seed_target_match_status,phase1_primary_wp,phase1_wps,phase1_scope,phase1_status,phase1_owner,phase1_notes,phase1_updated_at
v1/ai/api-reference/audio-to-text,in_v1_nav,ai,Audio To Text,Audio To Text. The default Gateway used in this guide is the public Livepeer.cloud Gateway. It is free to use but not intended for production-ready applications.,gateway|ai|api|audio|text|default,legacy,,Default legacy classification for v1 content.,0.72,new_page_in_existing_group,Gateways,Gateways,Technical References > API Reference > AI API,,true,true,v2/gateways/references/api-reference/AI-API/image-to-text.mdx,Gateways > Gateways > Technical References > API Reference > AI API,minimally_covered,Best candidate score 0.54 against English IA route v2/gateways/references/api-reference/AI-API/image-to-text.,no_deprecation_recommended,create_new_page,0.61,needs_manual_review,"Top candidate: v2/gateways/references/api-reference/AI-API/image-to-text (score 0.54, resolution direct). Adjudication could not raise confidence to threshold.",true,stale,WP-03,WP-03,seed_reconciliation_required,completed,Developers Docs Owner,Seed reconciliation status finalized in register (124/124).,2026-03-02T10:44:38.739Z
v1/ai/api-reference/image-to-image,in_v1_nav,ai,Image To Image,Image To Image. The default Gateway used in this guide is the public Livepeer.cloud Gateway. It is free to use but not intended for production-ready applications.,image|gateway|ai|api|default|production,legacy,overlaps_v2_hub,Default legacy classification for v1 content.,0.72,existing_v2_hub_merge,Gateways,Gateways,Technical References > API Reference > AI API,v2/gateways/references/api-reference/AI-API/image-to-image,true,true,v2/gateways/references/api-reference/AI-API/image-to-image.mdx,,partially_covered,Best candidate score 0.72 against English IA route v2/gateways/references/api-reference/AI-API/image-to-image.,no_deprecation_recommended,merge_and_redirect,0.84,not_required,"Top candidate: v2/gateways/references/api-reference/AI-API/image-to-image (score 0.72, resolution direct).",true,valid_match,WP-03,WP-03,seed_reconciliation_required,completed,Developers Docs Owner,Seed reconciliation status finalized in register (124/124).,2026-03-02T10:44:38.739Z
v1/ai/api-reference/image-to-text,in_v1_nav,ai,Image To Text,Image To Text. The default Gateway used in this guide is the public Livepeer.cloud Gateway. It is free to use but not intended for production-ready applications.,gateway|ai|api|image|text|default,legacy,overlaps_v2_hub,Default legacy classification for v1 content.,0.72,existing_v2_hub_merge,Gateways,Gateways,Technical References > API Reference > AI API,v2/gateways/references/api-reference/AI-API/image-to-text,true,true,v2/gateways/references/api-reference/AI-API/image-to-text.mdx,,partially_covered,Best candidate score 0.74 against English IA route v2/gateways/references/api-reference/AI-API/image-to-text.,no_deprecation_recommended,merge_and_redirect,0.86,not_required,"Top candidate: v2/gateways/references/api-reference/AI-API/image-to-text (score 0.74, resolution direct).",true,valid_match,WP-03,WP-03,seed_reconciliation_required,completed,Developers Docs Owner,Seed reconciliation status finalized in register (124/124).,2026-03-02T10:44:38.739Z
v1/ai/api-reference/image-to-video,in_v1_nav,ai,Image To Video,Image To Video. The default Gateway used in this guide is the public Livepeer.cloud Gateway. It is free to use but not intended for production-ready applications.,gateway|video|ai|api|image|default,legacy,overlaps_v2_hub,Default legacy classification for v1 content.,0.72,existing_v2_hub_merge,Gateways,Gateways,Technical References > API Reference > AI API,v2/gateways/references/api-reference/AI-API/image-to-video,true,true,v2/gateways/references/api-reference/AI-API/image-to-video.mdx,,partially_covered,Best candidate score 0.74 against English IA route v2/gateways/references/api-reference/AI-API/image-to-video.,no_deprecation_recommended,merge_and_redirect,0.86,not_required,"Top candidate: v2/gateways/references/api-reference/AI-API/image-to-video (score 0.74, resolution direct).",true,valid_match,WP-03,WP-03,seed_reconciliation_required,completed,Developers Docs Owner,Seed reconciliation status finalized in register (124/124).,2026-03-02T10:44:38.739Z
v1/ai/api-reference/llm,in_v1_nav,ai,Llm,Llm. The LLM pipeline is OpenAI API-compatible but does **not** implement all features of the OpenAI API. The default Gateway used in this guide is the public Livepeer.cloud Gateway.,api|gateway|llm|ai|openai|but,legacy,overlaps_v2_hub,Default legacy classification for v1 content.,0.72,existing_v2_hub_merge,Gateways,Gateways,Technical References > API Reference > AI API,v2/gateways/references/api-reference/AI-API/llm,true,true,v2/gateways/references/api-reference/AI-API/llm.mdx,,partially_covered,Best candidate score 0.72 against English IA route v2/gateways/references/api-reference/AI-API/llm.,no_deprecation_recommended,merge_and_redirect,0.84,not_required,"Top candidate: v2/gateways/references/api-reference/AI-API/llm (score 0.72, resolution direct).",true,valid_match,WP-03,WP-03,seed_reconciliation_required,completed,Developers Docs Owner,Seed reconciliation status finalized in register (124/124).,2026-03-02T10:44:38.739Z
v1/ai/api-reference/overview,in_v1_nav,ai,Introduction,Introduction. Learn more about Livepeer's AI API.,ai|api|reference|learn|more|standard,legacy,overlaps_v2_hub,Default legacy classification for v1 content.,0.72,existing_v2_hub_merge,Developers,Developers,AI Pipelines,v2/developers/ai-pipelines/overview,true,true,v2/developers/ai-pipelines/overview.mdx,,minimally_covered,Best candidate score 0.63 against English IA route v2/developers/ai-pipelines/overview.,no_deprecation_recommended,merge_and_redirect,0.7,needs_manual_review,"Top candidate: v2/developers/ai-pipelines/overview (score 0.63, resolution direct). Adjudication could not raise confidence to threshold.",true,stale,WP-03,WP-03,seed_reconciliation_required,completed,Developers Docs Owner,Seed reconciliation status finalized in register (124/124).,2026-03-02T10:44:38.739Z
v1/ai/api-reference/segment-anything-2,in_v1_nav,ai,Segment Anything 2,Segment Anything 2. The default Gateway used in this guide is the public Livepeer.cloud Gateway. It is free to use but not intended for production-ready applications.,gateway|ai|api|segment|anything|default,legacy,overlaps_v2_hub,Default legacy classification for v1 content.,0.72,existing_v2_hub_merge,Gateways,Gateways,Technical References > API Reference > AI API,v2/gateways/references/api-reference/AI-API/segment-anything-2,true,true,v2/gateways/references/api-reference/AI-API/segment-anything-2.mdx,,partially_covered,Best candidate score 0.74 against English IA route v2/gateways/references/api-reference/AI-API/segment-anything-2.,no_deprecation_recommended,merge_and_redirect,0.86,not_required,"Top candidate: v2/gateways/references/api-reference/AI-API/segment-anything-2 (score 0.74, resolution direct).",true,valid_match,WP-03,WP-03,seed_reconciliation_required,completed,Developers Docs Owner,Seed reconciliation status finalized in register (124/124).,2026-03-02T10:44:38.739Z
v1/ai/api-reference/text-to-image,in_v1_nav,ai,Text To Image,Text To Image. The default Gateway used in this guide is the public Livepeer.cloud Gateway. It is free to use but not intended for production-ready applications.,gateway|ai|api|text|image|default,legacy,overlaps_v2_hub,Default legacy classification for v1 content.,0.72,existing_v2_hub_merge,Gateways,Gateways,Technical References > API Reference > AI API,v2/gateways/references/api-reference/AI-API/text-to-image,true,true,v2/gateways/references/api-reference/AI-API/text-to-image.mdx,,partially_covered,Best candidate score 0.74 against English IA route v2/gateways/references/api-reference/AI-API/text-to-image.,no_deprecation_recommended,merge_and_redirect,0.86,not_required,"Top candidate: v2/gateways/references/api-reference/AI-API/text-to-image (score 0.74, resolution direct).",true,valid_match,WP-03,WP-03,seed_reconciliation_required,completed,Developers Docs Owner,Seed reconciliation status finalized in register (124/124).,2026-03-02T10:44:38.739Z
v1/ai/api-reference/text-to-speech,in_v1_nav,ai,Text To Speech,Text To Speech. The default Gateway used in this guide is the public Livepeer.cloud Gateway. It is free to use but not intended for production-ready applications.,gateway|ai|api|text|speech|default,legacy,overlaps_v2_hub,Default legacy classification for v1 content.,0.72,existing_v2_hub_merge,Gateways,Gateways,Technical References > API Reference > AI API,v2/gateways/references/api-reference/AI-API/text-to-speech,true,true,v2/gateways/references/api-reference/AI-API/text-to-speech.mdx,,partially_covered,Best candidate score 0.74 against English IA route v2/gateways/references/api-reference/AI-API/text-to-speech.,no_deprecation_recommended,merge_and_redirect,0.86,not_required,"Top candidate: v2/gateways/references/api-reference/AI-API/text-to-speech (score 0.74, resolution direct).",true,valid_match,WP-03,WP-03,seed_reconciliation_required,completed,Developers Docs Owner,Seed reconciliation status finalized in register (124/124).,2026-03-02T10:44:38.739Z
v1/ai/api-reference/upscale,in_v1_nav,ai,Upscale,Upscale. The default Gateway used in this guide is the public Livepeer.cloud Gateway. It is free to use but not intended for production-ready applications.,gateway|ai|api|upscale|default|production,legacy,overlaps_v2_hub,Default legacy classification for v1 content.,0.72,existing_v2_hub_merge,Gateways,Gateways,Technical References > API Reference > AI API,v2/gateways/references/api-reference/AI-API/upscale,true,true,v2/gateways/references/api-reference/AI-API/upscale.mdx,,partially_covered,Best candidate score 0.72 against English IA route v2/gateways/references/api-reference/AI-API/upscale.,no_deprecation_recommended,merge_and_redirect,0.84,not_required,"Top candidate: v2/gateways/references/api-reference/AI-API/upscale (score 0.72, resolution direct).",true,valid_match,WP-03,WP-03,seed_reconciliation_required,completed,Developers Docs Owner,Seed reconciliation status finalized in register (124/124).,2026-03-02T10:44:38.739Z
