v1_path,persona,topic,exists_in_v1,current_v2_equivalent,v2_gap_area,recommended_action,target_v2_path,priority,content_reuse_level,accuracy_review_needed,path_migration_only,technical_validation_source,technical_validation_status,uses_only_legacy_source,ready_to_move_now,target_section_owner,cleanup_consolidation_note,evidence_notes
v1/delegators/guides/bridge-lpt-to-arbitrum.mdx,delegators,bridge lpt to arbitrum,yes,none,Migration guides / chain migration support,move,v2/lpt/delegation/delegation-guide.mdx,HIGH,high,none,no,https://github.com/livepeer/go-livepeer,needs_validation,yes,no,LPT / Delegation docs owner,,source=r2-reviewed; mapped_v2_exists=no; status_recommendation=rewrite; mapping_source=reviewed-manual
v1/delegators/guides/migrate-stake-to-arbitrum.mdx,delegators,migrate stake to arbitrum,yes,none,Migration guides / chain migration support,move,v2/lpt/delegation/delegation-guide.mdx,HIGH,high,none,no,https://github.com/livepeer/go-livepeer,needs_validation,yes,no,LPT / Delegation docs owner,,source=r2-reviewed; mapped_v2_exists=no; status_recommendation=rewrite; mapping_source=reviewed-manual
v1/delegators/livepeer-studio-cli.mdx,delegators,livepeer studio cli,yes,v2/platforms/livepeer-studio/get-started/studio-cli.mdx,Full API/SDK/CLI references and copy-paste snippets,duplicate-remove,v2/platforms/livepeer-studio/get-started/studio-cli.mdx,HIGH,low,none,no,https://github.com/livepeer/docs/blob/main/api/studio.yaml,needs_validation,no,no,LPT / Delegation docs owner,Do not migrate as standalone page; consolidate or remove during cleanup pass.,source=r2-reviewed; mapped_v2_exists=yes; status_recommendation=archive; mapping_source=reviewed-manual
v1/delegators/quick-start.mdx,delegators,quick start,yes,v2/lpt/delegation/delegation-guide.mdx,delegators onboarding and quickstarts,duplicate-remove,v2/lpt/delegation/delegation-guide.mdx,HIGH,low,none,no,https://github.com/livepeer/go-livepeer,needs_validation,no,no,LPT / Delegation docs owner,Do not migrate as standalone page; consolidate or remove during cleanup pass.,source=r2-reviewed; mapped_v2_exists=yes; status_recommendation=archive; mapping_source=reviewed-manual
v1/ai/api-reference/audio-to-text.mdx,developers,audio to text,yes,none,Full API/SDK/CLI references with updated AI endpoint coverage,merge,v2/gateways/references/api-reference/AI-API/audio-to-text.mdx,HIGH,medium,stakeholder,no,https://github.com/livepeer/docs/blob/main/api/gateway.openapi.yaml; https://github.com/livepeer/ai-runner/blob/main/gateway.openapi.yaml,validated,no,no,Developers docs owner,,source=v1-ai-scan (supplemental); target mapping heuristic
v1/ai/api-reference/image-to-image.mdx,developers,image to image,yes,none,Full API/SDK/CLI references with updated AI endpoint coverage,merge,v2/gateways/references/api-reference/AI-API/image-to-image.mdx,HIGH,medium,stakeholder,no,https://github.com/livepeer/docs/blob/main/api/gateway.openapi.yaml; https://github.com/livepeer/ai-runner/blob/main/gateway.openapi.yaml,validated,no,no,Developers docs owner,,source=v1-ai-scan (supplemental); target mapping heuristic
v1/ai/api-reference/image-to-text.mdx,developers,image to text,yes,none,Full API/SDK/CLI references with updated AI endpoint coverage,merge,v2/gateways/references/api-reference/AI-API/image-to-text.mdx,HIGH,medium,stakeholder,no,https://github.com/livepeer/docs/blob/main/api/gateway.openapi.yaml; https://github.com/livepeer/ai-runner/blob/main/gateway.openapi.yaml,validated,no,no,Developers docs owner,,source=v1-ai-scan (supplemental); target mapping heuristic
v1/ai/api-reference/image-to-video.mdx,developers,image to video,yes,none,Full API/SDK/CLI references with updated AI endpoint coverage,merge,v2/gateways/references/api-reference/AI-API/image-to-video.mdx,HIGH,medium,stakeholder,no,https://github.com/livepeer/docs/blob/main/api/gateway.openapi.yaml; https://github.com/livepeer/ai-runner/blob/main/gateway.openapi.yaml,validated,no,no,Developers docs owner,,source=v1-ai-scan (supplemental); target mapping heuristic
v1/ai/api-reference/llm.mdx,developers,llm,yes,none,Full API/SDK/CLI references with updated AI endpoint coverage,merge,v2/gateways/references/api-reference/AI-API/llm.mdx,HIGH,medium,stakeholder,no,https://github.com/livepeer/docs/blob/main/api/gateway.openapi.yaml; https://github.com/livepeer/ai-runner/blob/main/gateway.openapi.yaml,validated,no,no,Developers docs owner,,source=v1-ai-scan (supplemental); target mapping heuristic
v1/ai/api-reference/overview.mdx,developers,overview,yes,none,Full API/SDK/CLI references with updated AI endpoint coverage,merge,v2/gateways/references/api-reference/AI-API/ai.mdx,HIGH,medium,stakeholder,no,https://github.com/livepeer/docs/blob/main/api/gateway.openapi.yaml; https://github.com/livepeer/ai-runner/blob/main/gateway.openapi.yaml,validated,no,no,Developers docs owner,,source=v1-ai-scan (supplemental); target mapping heuristic
