path	type	size	file_count	last_commit	classification	rationale
workspace/	dir	119M	2970	-	production-tree-internal	Mintignore lines 10/32/35 cover all of workspace/
workspace/plan/active/	dir	15M	-	-	production-tree-internal	Active plans root
workspace/plan/active/ACTUAL-CONTRACTS.MDX	file	22K	1	2026-05-18	archive-candidate	Loose 470-line MDX at top of active/ — looks like contracts page draft
workspace/plan/active/index.md	file	-	1	-	production-tree-internal	Active plans index
workspace/plan/active/master-checks.mdx	file	68K	1	-	production-tree-internal	Master checklist
workspace/plan/active/master-summary.mdx	file	14K	1	-	production-tree-internal	Master summary
workspace/plan/active/AI-TOOLS-GOVERNANCE/	dir	448K	70	2026-04-08	archive-candidate	Shipped to docs-guide/frameworks/ai-tools-governance.mdx
workspace/plan/active/AUTOMATIONS-RESTRUCTURE/	dir	20K	3	2026-04-16	archive-candidate	Tiny plan; verify outcome
workspace/plan/active/CANONICAL-TRUTH-GUIDES/	dir	12K	2	2026-03-31	archive-candidate	Workflow Alignment Skills shipped
workspace/plan/active/COMPONENT-GOVERNANCE/	dir	264K	15	2026-04-08	archive-candidate	Shipped to docs-guide/frameworks/component-framework-canonical.mdx
workspace/plan/active/CONTENT-PIPLEINE/	dir	268K	22	2026-05-17	production-tree-internal	Active 8 days fresh; folder name typo
workspace/plan/active/CONTENT-STRUCTURE-TEMPLATES/	dir	36K	4	2026-04-07	production-tree-internal	Reference templates
workspace/plan/active/CONTENT-WRITING/	dir	4.4M	199	2026-05-18	production-tree-internal	Active primary thread
workspace/plan/active/CONTENT-WRITING.zip	file	3.2M	1	2026-03-24	cut-candidate	Binary archive superseded by live folder
workspace/plan/active/CONTRACTS/	dir	508K	30	2026-05-04	production-tree-internal	Active CONTRACTS thread
workspace/plan/active/CONTRACTS-CHANGELOG-PIPELINE/	dir	48K	2	2026-04-03	archive-candidate	Changelog Pipeline Done
workspace/plan/active/DOCUMENTATION/	dir	776K	50	2026-04-08	archive-candidate	Canonical Consolidation absorbed this
workspace/plan/active/FUCK_CLAUDE/	dir	200K	23	2026-03-31	production-tree-internal	CANONICAL-DIAGNOSTIC; load-bearing per CLAUDE.md
workspace/plan/active/FULL-CLEANUP/	dir	8K	1	2026-03-28	archive-candidate	Single handoff doc; 58 days stale
workspace/plan/active/ORCHESTRATOR-CONTENT-WRITING/	dir	152K	18	2026-04-07	archive-candidate	Superseded by CONTENT-WRITING/
workspace/plan/active/ORCHS/	dir	1.7M	122	2026-05-17	production-tree-internal	Active orchestrators IA + drafts
workspace/plan/active/OSS-OWNERLESS-REPO-GOVERNANCE/	dir	152K	14	2026-04-16	production-tree-internal	Active GitHub Actions Governance thread
workspace/plan/active/REPO-FEATURES-DOCS-AUDIT/	dir	64K	6	2026-05-18	production-tree-internal	Active 7 days fresh
workspace/plan/active/REPO-STRUCTURE-GOV/	dir	276K	25	2026-04-08	archive-candidate	Canonical Consolidation Done
workspace/plan/active/SCRIPT WORKFLOW AUDIT/	dir	320K	10	2026-04-16	archive-candidate	Snippets Audit Done; folder name has space
workspace/plan/active/SCRIPT-GOVERNANCE/	dir	376K	23	2026-05-22	production-tree-internal	Active 3 days fresh
workspace/plan/active/SHIP-CONTENT/	dir	8K	1	2026-03-29	cut-candidate	Single decisions.md; all decisions still OPEN; 56 days stale
workspace/plan/active/SNIPPETS/	dir	32K	3	2026-03-31	archive-candidate	Absorbed by Snippets Audit thread
workspace/plan/active/SOLUTIONS-SOCIAL-DATA/	dir	48K	3	2026-04-16	archive-candidate	Solutions tab work shipped
workspace/plan/active/TERMINOLOGY-COLLATE/	dir	1.1M	34	2026-03-31	archive-candidate	Terminology lock complete; glossary live
workspace/plan/active/TOOLING/	dir	60K	6	2026-04-16	production-tree-internal	Reference for tooling
workspace/plan/active/_MY_PROCESS/	dir	280K	30	2026-04-13	production-tree-internal	Personal process docs
workspace/plan/active/_MY_PROCESS/00_AUDIENCE-JOURNEY/ALL-CURRENT-INFORMATION/RESEARCH/CLAUDE-FILES.zip	file	32K	1	-	cut-candidate	Nested zip artefact
workspace/plan/active/_Project-Management_/	dir	460K	11	2026-04-16	production-tree-internal	Load-bearing per CLAUDE.md key-files
workspace/plan/complete/	dir	9.7M	174	-	production-tree-internal	Completed plans archive
workspace/plan/complete/dep-COPYWRITING FRAMEWORK/copywriting-framework-files.zip	file	84K	1	-	cut-candidate	Deprecated zip in deprecated dir
workspace/plan/complete/dep-COPYWRITING FRAMEWORK/COPYWRITING-FILES-PLANNING-CLAUDE.zip	file	112K	1	-	cut-candidate	Deprecated zip
workspace/plan/complete/dep-COPYWRITING FRAMEWORK/new-skills.zip	file	12K	1	-	cut-candidate	Deprecated zip
workspace/plan/future/	dir	892K	67	-	production-tree-internal	Backlog
workspace/plan/repo-ops-reports/	dir	960K	82	-	archive-candidate	2026-03-16 single-pass research; move to reports/archive
workspace/reports/	dir	80M	1663	-	production-tree-internal	Reports root
workspace/reports/archive/	dir	20M	-	-	archive-candidate	Bulk one-shot audits
workspace/reports/archive/orchestrator-guides-review/	dir	12M	-	-	archive-candidate	Biggest single archive entry; one-shot
workspace/reports/archive/gateway-guides-review/	dir	3.5M	-	-	archive-candidate	One-shot
workspace/reports/archive/link-health/	dir	3.1M	-	-	archive-candidate	One-shot; CI now enforces
workspace/reports/archive/migration-impact-report.md	file	376K	1	-	archive-candidate	Migration complete
workspace/reports/archive/component-governance-audit.md	file	276K	1	-	archive-candidate	Component governance shipped
workspace/reports/archive/gateway-concepts-review/	dir	452K	-	-	archive-candidate	One-shot
workspace/reports/codex-thread-insights/	dir	3.7M	913	2026-04-08	archive-candidate	Single date 2026-04-03; 913 files
workspace/reports/contracts/	dir	13M	230	2026-04-03	archive-candidate	Verify against active CONTRACTS thread before cut
workspace/reports/relative-link-audit/	dir	9.1M	67	2026-04-16	cut-candidate	One-shot per-tab link audit; superseded by CI
workspace/reports/navigation-links/	dir	4.3M	-	-	cut-candidate	One-shot nav report
workspace/reports/v1-v2-mapping-audit/	dir	3.7M	-	-	cut-candidate	Migration complete
workspace/reports/v2-nav-gold-standard-audit/	dir	2.4M	-	-	archive-candidate	Could inform future audits
workspace/reports/research/	dir	4.6M	-	-	production-tree-internal	Active research; some entries older
workspace/reports/repo-ops/	dir	14M	96	-	archive-candidate	2026-03-16 page-content-research per-tab pilots
workspace/reports/governance/	dir	268K	-	-	production-tree-internal	gap-report.mdx referenced in CLAUDE.md
workspace/reports/health/	dir	512K	-	-	production-tree-internal	Ongoing health reports
workspace/reports/_local/	dir	176K	-	-	production-tree-internal	Local-only outputs
workspace/reports/handover/	dir	44K	-	-	archive-candidate	One-shot handovers
workspace/reports/openapi-reference/	dir	60K	-	-	production-tree-internal	OpenAPI reference
workspace/reports/page-audits/	dir	896K	-	-	production-tree-internal	Recurring audit
workspace/reports/media-audit/	dir	992K	-	-	production-tree-internal	Recurring audit
workspace/reports/script-audit/	dir	896K	-	-	production-tree-internal	Recurring audit
workspace/reports/quality-accessibility/	dir	960K	-	-	production-tree-internal	Recurring audit
workspace/reports/content-gap/	dir	208K	-	-	production-tree-internal	Recurring audit
workspace/reports/performance/	dir	64K	-	-	production-tree-internal	Recurring audit
workspace/thread-outputs/	dir	11M	-	-	production-tree-internal	Active session outputs
workspace/thread-outputs/sessions/	dir	7.9M	-	-	production-tree-internal	Active session log
workspace/thread-outputs/sessions/recovered-chats/	dir	7.7M	20	-	cut-candidate	Chat recovery dumps; archive after VS Code stable
workspace/thread-outputs/resource-hub-aggregation/	dir	2.0M	-	-	archive-candidate	Verify thread status
workspace/thread-outputs/repo-consolidation-deep/	dir	472K	-	-	production-tree-internal	Active
workspace/thread-outputs/repo-docs-consolidation/	dir	304K	-	-	production-tree-internal	Active
workspace/thread-outputs/production-cleanup/	dir	24K	-	-	production-tree-internal	THIS thread
workspace/thread-outputs/build/	dir	28K	-	-	production-tree-internal	Active thread outputs
workspace/thread-outputs/research/	dir	168K	-	-	production-tree-internal	Active thread outputs
workspace/thread-outputs/about/	dir	60K	-	-	production-tree-internal	Active thread outputs
workspace/thread-outputs/CONTENT-WRITING/	dir	8K	-	-	production-tree-internal	Active thread outputs
workspace/thread-outputs/design/	dir	8K	-	-	production-tree-internal	Active thread outputs
workspace/research/	dir	76K	-	-	production-tree-internal	Research artefacts
workspace/build/	dir	28K	-	-	production-tree-internal	Build artefacts
workspace/staging/	dir	836K	-	-	production-tree-internal	Staging
workspace/scripts/	dir	32K	-	-	production-tree-internal	Scripts
workspace/tmp/	dir	28K	-	-	cut-candidate	Should be ephemeral
workspace/errors/	dir	4K	-	-	cut-candidate	Empty/near-empty
workspace/x-archive/	dir	16K	-	-	production-tree-internal	Single archived items
workspace/archive/	dir	120K	-	-	production-tree-internal	Smaller archive area
v2/_workspace/	dir	8.8M	1153	-	production-tree-internal	Covered by .mintignore lines 62/63/79; CRITICAL — verify parser
v2/_workspace/archive/	dir	8.6M	-	-	production-tree-internal	Main bulk; language-pages + x-deprecated
v2/_workspace/archive/language-pages/	dir	-	1070	-	production-tree-internal	i18n archive es+fr never rendered
v2/_workspace/context-data/	dir	28K	-	-	production-tree-internal	Workspace material
v2/_workspace/locale-page-archive/	dir	120K	-	-	production-tree-internal	Locale archive
v2/_workspace/notes/	dir	8K	-	-	production-tree-internal	Notes
v2/_workspace/plans/	dir	16K	-	-	production-tree-internal	Plans
v2/_workspace/research/	dir	100K	-	-	production-tree-internal	Research
v2/about/_workspace/	dir	-	-	-	production-tree-internal	Tab workspace
v2/community/_workspace/	dir	-	-	-	production-tree-internal	Tab workspace
v2/delegators/_workspace/	dir	-	-	-	production-tree-internal	Tab workspace; Delegators thread Done
v2/developers/_workspace/	dir	-	-	-	production-tree-internal	Tab workspace
v2/developers/_workspace/developers1/_workspace/	dir	-	-	-	needs-collab	Nested clone; iteration debris
v2/developers/_workspace/developers2/_workspace/	dir	-	-	-	needs-collab	Nested clone; iteration debris
v2/gateways/_workspace/	dir	-	-	-	production-tree-internal	Tab workspace
v2/home/_workspace/	dir	-	-	-	production-tree-internal	Tab workspace
v2/internal/_workspace/	dir	-	-	-	production-tree-internal	Internal workspace
v2/orchestrators/_workspace/	dir	-	-	-	production-tree-internal	Tab workspace
v2/resources/_workspace/	dir	-	-	-	production-tree-internal	Tab workspace
v2/solutions/_workspace/	dir	-	-	-	production-tree-internal	Tab workspace
docs-guide/_workspace/	dir	-	40	-	production-tree-internal	Explicit alias line 14+68
docs-guide/_workspace/02_Design-Specification/	dir	-	-	-	production-tree-internal	Reference design specs
docs-guide/_workspace/03_Component-Governance-Framework/	dir	-	-	-	production-tree-internal	Reference governance
docs-guide/_workspace/livepeer_production_authoring_standard_2026.md	file	-	1	-	production-tree-internal	Reference standard
snippets/_workspace/	dir	-	-	-	production-tree-internal	Active audit reports
snippets/_workspace/audit.md	file	12K	1	-	production-tree-internal	Snippets audit output
snippets/_workspace/snippets-review.md	file	40K	1	-	production-tree-internal	Snippets review
ai-tools/_workspace/	dir	-	-	-	production-tree-internal	Alias line 66
ai-tools/ai-skills/_workspace/	dir	-	-	-	production-tree-internal	Covered by bare _workspace
api/_workspace/	dir	-	-	-	production-tree-internal	Alias line 67
tools/_workspace/	dir	-	-	-	production-tree-internal	Alias line 70
.github/x-archive/docs-guide1/_workspace/	dir	-	-	-	cut-candidate	Inside abandoned x-archive chain
.github/x-archive/docs-guide1/canonical/collation-data/Mintlify/dep-files/v2/_workspace/	dir	-	-	-	cut-candidate	Deep dep-files chain in abandoned x-archive
docs-guide/canonical/collation-data/Mintlify/dep-files/v2/_workspace/	dir	-	-	-	cut-candidate	dep-files chain; verify no refs then cut
