current_path,bytes,pageType,audience,classification,target_path,reason,review_flag_count,studio_violation_count
v2/developers/index.mdx,4395,navigation,,KEEP,v2/developers/index.mdx,Persona-router landing page; locked IA names index.mdx,0,0
v2/developers/navigator.mdx,9691,navigation,developer,KEEP,v2/developers/navigator.mdx,Brief explicitly: navigator.mdx stays,0,6
v2/developers/portal.mdx,5389,navigation,developer,ARCHIVE,_workspace/archive/,Brief: portal.mdx replaced by index.mdx; audit for salvage first,0,0
v2/developers/concepts/builders-guide.mdx,16776,resource,developer,MOVE,v2/developers/resources/example-applications.mdx,Ecosystem-projects listing belongs in resources; Task 1 confirms not a concept,1,1
v2/developers/concepts/developer-landscape.mdx,34043,concept,developer,REWRITE,v2/developers/concepts/landscape.mdx,Heavy Studio framing (11 violations) + needs network-direct rewrite per project rule 3,5,11
v2/developers/concepts/developer-stack.mdx,24056,concept,general,MERGE,v2/developers/concepts/repo-map.mdx,Merge with concepts1/oss-stack.mdx per brief,0,1
v2/developers/concepts/diagrams.mdx,16383,,,MOVE,v2/developers/concepts/infra-stack.mdx,Task 1 finding: this IS the locked 5-persona infra-maps; rename to match IA. Strip duplicate H1,0,0
v2/developers/concepts/diagrams2.mdx,63949,,,SPLIT,multiple,"Task 1: lines 1-414 duplicate diagrams.mdx (discard); lines 424-887 to _workspace/infra-inventory.md; lines 889-1512 to _workspace/persona-model-research.md",0,5
v2/developers/concepts/ecosystem-map.mdx,28444,resource,developer,MERGE,v2/developers/concepts/repo-map.mdx,Overlaps with developer-stack/oss-stack scope; merge into repo-map,0,8
v2/developers/concepts/notes.mdx,14739,,,MOVE,v2/developers/_workspace/notes.mdx,Task 1: workspace doc misfiled as published page (IA tree + scratch questions + Navigator narrative),0,1
v2/developers/concepts/spe-ecosystem.mdx,21066,resource,community,ARCHIVE,v2/about/_workspace/ or v2/community/,Audience is community not developer; SPE content belongs in About or Community tabs,0,0
v2/developers/learn/ai-on-livepeer.mdx,14023,concept,developer,REWRITE,v2/developers/learn/ai-and-agents.mdx,Brief: MOVE + REWRITE for network-direct; remove Studio framing (2 violations),2,2
v2/developers/learn/applications-on-livepeer.mdx,5719,concept,developer,REWRITE,v2/developers/learn/applications.mdx,Current H1 'When to Run Your Own Gateway' does not match target intent; rewrite from scratch using H1 content as one section,0,0
v2/developers/learn/setup-paths.mdx,5808,navigation,developer,ARCHIVE,_workspace/archive/,Routing page replaced by index.mdx + navigator.mdx + learn/where-to-find/ subgroup,0,4
v2/developers/learn/video-on-livepeer.mdx,8215,concept,developer,REWRITE,v2/developers/learn/video-and-livestream.mdx,Brief: REWRITE (Studio-centric, 7 violations); merge Live-Video-First scope per Task 1 cross-persona observation,0,7
v2/developers/get-started/ai-quickstart.mdx,5689,instruction,developer,REWRITE,v2/developers/build/ai-and-agents/ai-jobs-direct-quickstart.mdx,Brief NET-NEW; Studio-framed quickstart needs full network-direct rewrite against Cloud SPE,0,5
v2/developers/get-started/comfystream-quickstart.mdx,10852,tutorial,developer,MOVE,v2/developers/build/ai-and-agents/realtime-ai/comfystream/comfystream-quickstart.mdx,Brief MOVE; 11 REVIEW flags must be resolved per project rule 2,11,0
v2/developers/get-started/contributor-quickstart.mdx,6595,tutorial,developer,ARCHIVE,v2/community/,Brief ARCHIVE (Community tab),0,0
v2/developers/get-started/setup-paths.mdx,5808,navigation,developer,ARCHIVE,_workspace/archive/,Brief ARCHIVE (replaced by index.mdx),0,4
v2/developers/get-started/transcoding-quickstart.mdx,6396,instruction,developer,HOLD,—,Brief HOLD: Studio version awaits Rick review; network-direct version is NET-NEW at build/video/transcoding-direct-quickstart.mdx,0,6
v2/developers/get-started/video-quickstart.mdx,2234,navigation,developer,DELETE,—,Pure redirect stub (frontmatter redirect to transcoding-quickstart); replaced by IA tree,0,0
v2/developers/build/overview.mdx,971,overview,developer,ARCHIVE,_workspace/archive/,No build/overview.mdx in locked IA (overview at each subgroup); content too thin to salvage,0,0
v2/developers/build/tutorials/build-an-ai-agent-on-livepeer.mdx,8663,tutorial,developer,MOVE,v2/developers/build/tutorials/ai-agent-on-livepeer.mdx,Brief MOVE (filename normalisation),0,0
