path,frontmatter_pass,em_dash_count,uk_english_pass,question_heading_count,html_comment_count,conditional_gatekeeping_count,hand_holding_count,review_flag_count,studio_violation_count,overall_grade,notes
v2/developers/index.mdx,fail(5/8),0,pass,0,0,0,0,0,0,needs-work,
v2/developers/navigator.mdx,pass,0,pass,1,0,0,0,0,6,rewrite,
v2/developers/portal.mdx,pass,0,fail(1),0,0,0,0,0,0,needs-work,
v2/developers/concepts/builders-guide.mdx,fail(6/8),0,pass,0,0,0,1,1,0,needs-work,
v2/developers/concepts/developer-landscape.mdx,pass,1,pass,0,0,1,0,5,11,rewrite,
v2/developers/concepts/developer-stack.mdx,pass,0,pass,0,0,0,0,0,1,needs-work,
v2/developers/concepts/diagrams.mdx,fail(1/8),12,fp-mermaid(40),0,0,0,0,0,0,rewrite,em-dashes & color: in Mermaid blocks (mostly false-positive); split per Task 1
v2/developers/concepts/diagrams2.mdx,fail(4/8),38,fp-mermaid(142),0,0,0,0,0,5,rewrite,em-dashes & color: in Mermaid blocks (mostly false-positive); split per Task 1
v2/developers/concepts/ecosystem-map.mdx,fail(7/8),0,pass,0,0,1,0,0,8,rewrite,
v2/developers/concepts/notes.mdx,fail(1/8),35,pass,1,0,0,0,0,1,rewrite,workspace doc misfiled; move to _workspace/
v2/developers/concepts/spe-ecosystem.mdx,fail(7/8),2,pass,0,0,0,0,0,0,needs-work,
v2/developers/learn/ai-on-livepeer.mdx,pass,0,pass,0,0,0,0,2,2,needs-work,
v2/developers/learn/applications-on-livepeer.mdx,fail(7/8),0,pass,0,0,0,0,0,0,needs-work,
v2/developers/learn/setup-paths.mdx,pass,0,pass,1,0,1,0,0,4,rewrite,
v2/developers/learn/video-on-livepeer.mdx,pass,0,pass,0,0,0,0,0,7,rewrite,
v2/developers/get-started/ai-quickstart.mdx,pass,0,pass,0,0,0,0,0,5,rewrite,
v2/developers/get-started/comfystream-quickstart.mdx,pass,0,pass,0,0,0,0,11,0,rewrite,
v2/developers/get-started/contributor-quickstart.mdx,pass,0,fail(1),0,0,0,0,0,0,needs-work,
v2/developers/get-started/setup-paths.mdx,pass,0,pass,1,0,1,0,0,4,rewrite,
v2/developers/get-started/transcoding-quickstart.mdx,pass,0,fail(1),0,0,0,0,0,7,rewrite,
v2/developers/get-started/video-quickstart.mdx,pass,0,pass,0,0,0,0,0,0,pass,
v2/developers/build/overview.mdx,fail(7/8),0,pass,0,0,0,0,0,0,needs-work,
v2/developers/build/tutorials/build-an-ai-agent-on-livepeer.mdx,pass,0,fail(1),0,0,0,0,0,3,rewrite,
v2/developers/build/tutorials/huggingface-to-livepeer.mdx,pass,0,pass,0,0,0,0,0,0,pass,
v2/developers/build/tutorials/huggingface-to-livepeer-advanced.mdx,pass,0,pass,0,0,0,0,0,0,pass,
v2/developers/build/tutorials/ipfs-video-integration.mdx,pass,0,fail(1),0,0,0,0,0,1,rewrite,
v2/developers/build/tutorials/token-gated-video.mdx,pass,0,fail(1),0,0,0,0,0,1,rewrite,
v2/developers/guides/ai/authentication.mdx,pass,0,pass,0,0,0,0,0,4,rewrite,
v2/developers/guides/ai/production-checklist.mdx,pass,0,pass,0,0,0,0,0,4,rewrite,
v2/developers/guides/ai/troubleshooting.mdx,pass,0,pass,0,0,0,0,0,6,rewrite,
v2/developers/guides/beta-projects/data-mcp.mdx,fail(0/8),0,pass,0,0,0,0,0,0,needs-work,
v2/developers/guides/beta-projects/naap.mdx,fail(6/8),1,fail(1),0,0,0,0,0,0,needs-work,
v2/developers/guides/beta-projects/pymthouse.mdx,fail(6/8),0,pass,0,0,0,0,0,0,needs-work,
v2/developers/guides/beta-projects/storyboard.mdx,fail(0/8),0,pass,0,0,0,0,0,0,needs-work,
v2/developers/guides/contribution-guide.mdx,pass,0,pass,0,0,1,0,0,1,needs-work,
v2/developers/guides/developer-guides.mdx,pass,0,pass,0,0,0,0,0,0,pass,
v2/developers/guides/local-testnet-deployment.mdx,pass,0,pass,0,0,0,0,0,0,pass,
v2/developers/resources/glossary.mdx,pass,4,pass,0,0,0,0,0,0,needs-work,
v2/developers/resources/compendium/developer-help.mdx,pass,0,pass,0,0,0,0,0,2,needs-work,
v2/developers/resources/compendium/example-applications.mdx,fail(3/8),0,pass,0,0,0,0,0,0,needs-work,
